priority,chandas,text_id,text,unit,count,duration_target,suggested_recording_type,reason
P0,इन्द्रवंशा,sumadhva_vijaya:sarga_10:43,संसाधितार्थे भगवत्ययुक्ति-वित् / पप्रच्छ स ज्ञान-पदार्थमुग्रधीः / ज्ञातः स ते ज्ञान्यसि चेन्न चेन्न स / प्रश्नो घटेतेति निराकृतैष तम्,full śloka,3,≈16s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","4 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,इन्द्रवंशा,sumadhva_vijaya:sarga_11:73,आश्चर्य रत्नेष्वधिकं जगत्-त्रयेऽप्याश्चर्यमाश्चर्यमहो मुहुर्मुहुः / सौन्दर्य-सारैक-रसं रमा-पते रूपं तदानन्दयतीह मोक्षिणः,full śloka,3,≈16s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","4 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,इन्द्रवंशा,sumadhva_vijaya:sarga_5:24,तेजोऽमृतं नन्दन-गात्र-पात्र-गं नेत्राञ्जलिभ्यामपिबत् सदाऽव्ययम् / विद्या-सुधां चास्य वचो-महा-घटे पूर्णामसौ कर्ण-पुटेन पण्डितः,full śloka,3,≈16s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","4 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,पृथ्वी,sumadhva_vijaya:sarga_10:52,स शङ्कर-पद-द्विजोप-हृतमाप्य गोवाख्य-गां / गरिष्ठ-कदळी-लसद्-दश-शती-चतुष्कं चरन् / पयः कलश-पञ्चक-त्रिक-युगाभिपूर्णं पपा / वदृष्ट-गतिरप्यभून्नृप-नृ-मण्डलैरुद्यतैः,full śloka,3,≈22s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","3 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,पृथ्वी,sumadhva_vijaya:sarga_12:51,विधावत विधावत त्वरितमत्रिवादासुरा / अदभ्रधिषणाभिधो नरहरिर्हि जाज्वल्यते / स युक्तिनखरैः खरैर्मुखरमूर्खदुःखाङ्कुरै / र्विदारयति दारुणप्रवचनप्रणादोऽप्रियान्,full śloka,3,≈22s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","3 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,पृथ्वी,sumadhva_vijaya:sarga_9:55,प्रणम्य गुरुमादरादथ नियोगतो योग्यतः / स तस्य जगतां हितं विदधतो गतः सानुगः / महिष्ठ-हृदयो महा-महिम-सिन्धुरानन्दतो / निजैरभि-गतोऽनमद् रजत-पीठ-वासं हरिम्,full śloka,3,≈22s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","3 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,भुजङ्गप्रयात,sumadhva_vijaya:sarga_11:77,महानन्द-तीर्थस्य ये भाष्य-भावं मनोवाग्भिरा-वर्तयन्ते स्व-शक्त्या / सुराद्या नरान्ता मुकुन्द-प्रसादादिमं मोक्षमेते भजन्ते सदेति,full śloka,3,≈16s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","1 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,भुजङ्गप्रयात,tirtha_prabandha:TP_DAK_006,नवांभोदनीलः स्फुरद्धेमजालः स्मरच्चित्तलोलः सुरश्रेणिपालः / श्रिये रंगधामाऽस्त्वयं पुण्यनामा महैश्वर्यसीमा गुणस्तोमभूमा,full śloka,3,≈16s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","1 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,मन्दाक्रान्ता,sumadhva_vijaya:sarga_10:49,प्राज्ञो राज्ञां त्रिदिव-पदवीं कौरवं क्षेत्रमाप्तः / सस्माराथ स्व-विहृति-पतद्धस्ति-युद्धोत्सवानाम् / सत्यात्माद्यैरिह परिवृतो भाविमारीच दृग्भि / र्विस्मेरैः स्वैर्न्निज-नृप-तनू-हेति दृष्ट्याऽतितुष्टैः,full śloka,3,≈22s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","2 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,मन्दाक्रान्ता,sumadhva_vijaya:sarga_1:55,विश्वं मिथ्या विभुरगुणवानात्मनां नास्ति भेदो दैत्या इत्थं व्यदधत गिरां दिक्षु भूयः प्रसिद्धिम् / आनन्दाद्यैर्गुरु-गुण-गणैः पूरितो वासुदेवो मन्दम्मन्दं मनसि च सतां हन्त नूनं तिरोऽभूत्,full śloka,3,≈22s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","2 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,शिखरिणी,sumadhva_vijaya:sarga_10:20,कदाचिच्चोराणां निकरमवलोक्याभि-पतताम् / अवस्थाप्य स्वीयान् कर-ग-पट-पिण्डार्थ-मति-कृत् / चरन्नेतेष्वेतानथ मिथ इहाघातयदहो / विभुः सम्मोह्य प्राग् विजय इव संशप्तक-गणान्,full śloka,3,≈22s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","3 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,शिखरिणी,sumadhva_vijaya:sarga_16:57,नमस्ते प्राणेश प्रणतविभवायावनिमगाः / नमः स्वामिन् रामप्रियतम हनूमन् गुरुगुण / नमस्तुभ्यं भीम प्रबलतम कृष्णेष्ट भगवन् / नमः श्रीमन्मध्व प्रदिश सुदृशं नो जय जय,full śloka,3,≈22s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","3 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,शिखरिणी,sumadhva_vijaya:sarga_3:56,अयि स्वामिन् दुष्टान् दमय-दमय स्पष्टमचिराद् गुणान् गूढान् विष्णोः कथय-कथय स्वान् प्रमदयन् / तदाऽऽनन्दं तन्वन्निति सु-मनसां सोऽनु-सरताम् अनुज्ञामादत्त त्रिभुवन-गुरुर्ब्रह्मणगुरोः,full śloka,3,≈22s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","3 recording(s) exist but the best one is not reference-grade: quality B, 11025 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
P0,स्रग्धरा,sumadhva_vijaya:sarga_10:50,विप्रात्मेशः क्षणार्थं कृत-नतिरशिति-श्रीर्हृषीकेश-देशे / स्पष्टं दृष्टोऽप्यदृष्टः सपदि विहितवान् विस्मयं देहभाजाम् / स्वप्ने स्व-प्रेरितान्य-स्थल-ग-निज-नरो-पाहृतैर्भक्ष्य-भोज्यैः / प्राज्यैः प्राभोजयत् स्वं गुरुमखिल-गुरुं वेदयन् वेदबन्धुम्,full śloka,3,≈28s,"reference (single clean rendition, full śloka, pause only at pāda ends / yati, 48 kHz 24-bit WAV, no drone)","4 recording(s) exist but the best one is not reference-grade: quality B, 48000 Hz, duration plausible — a clean single take in the Kamadhenu voice is needed"
