component,dge,vagdhenu,required_for_kamadhenu,status,evidence,file_or_path,what_is_missing,exact_next_action
Sanskrit normalization,"clean_devanagari + search_toolkit folds (search-grade, lossy on purpose)",prep_text.strip_punct/to_deva + tts_normalize (visarga/anusvāra rewrites),"lossless Devanagari→SLP1 with Vedic-ext support, Kannada input, no search folds",🟡 PARTIAL,"frontend_gap_report.json: 22 cases; jihvāmūlīya/upadhmānīya dropped by DGE to_slp1, ZWJ leaks","dge/search_toolkit_pkg/, tools/kamadhenu/texts.py","one Kamadhenu normaliser with explicit, logged transforms","port the 4 Vāgdhenu fixes (ᳵ/ᳶ, ZW strip, ṝ→rū option, parenthetical strip) into tools/kamadhenu/texts.py and unit-test them"
G2P,none (SLP1 = phonemic),tts_g2p.to_slp1 (+Z/V/y~/| extensions); production feeds Kannada script to IndicF5,SLP1 with Vedic extensions; script-routing decision per model,🟡 PARTIAL,frontend_gap_report.json findings 'G2P',vagdhenu/src/tts_g2p.py,decision on Devanagari vs Kannada routing for the lead's voice,A/B on 20 rendered verses once a voice exists (Stage 2)
syllabification,"chandas.js syllabify (browser JS, Devanagari only; candrabindu/ᳵ not guru)",tts_syllabify.py (maximize-onset) + chandas_labeler.syllabify_slp1 (orthographic),one akṣara segmenter agreeing with DGE Chandas,🟡 PARTIAL,"chandas_runner.js runs the DGE engine headlessly over 7,696 units; 2 engine bugs found","tools/kamadhenu/chandas_runner.js, dge/js/chandas.js:58",fix candrabindu + ᳵ/ᳶ weight in chandas.js; Kannada input,patch dge/js/chandas.js nasal test to /[ँंःᳵᳶ]/ and add a test
Chandas,245 vṛttas + 10 mātrā + anuṣṭubh rule; sama/ardhasama/upajāti/viṣama/mātrā,13 metres (tts_meter) / 10 signatures (chandas_labeler); 4 patterns WRONG; two tables disagree,ONE authoritative layer = DGE,🟡 PARTIAL,chandas_comparison.json: 6 Vāgdhenu patterns disagree with DGE; 256 DGE metres,"dge/data/vedanga/chandas/data.json, tools/kamadhenu/compare_vagdhenu.py","DGE: strict anuṣṭubh (vipulā → अज्ञातम्), upajāti table missing U-I-U-U, no Kannada input; 44% of corpus units unresolved",extend chandas.js: vipulā classes + generic indra/upendra mix; fix ऋद्धि row in data.json
Laghu/Guru,chandas.js pattern (ग/ल),tts_weight.tag_weights + chandas_labeler.scan (L/G),per-akṣara L/G from DGE,🟢 DONE,text_index.json chandas_analysis.laghu_guru for every unit; agrees with Vāgdhenu on 18/24 templates (the 6 differ only where Vāgdhenu is wrong or the metre is upajāti),tools/kamadhenu/chandas_bridge.py,nothing for dataset stage,—
Gaṇa,chandas.js ganas() (य म त र ज भ न स),none explicit (uses L/G ids),gaṇa string per pāda,🟢 DONE,chandas_analysis.gana populated,dge/js/chandas.js:85-91,—,—
reference bank,none (ARCHITECTURE.md §MVP-5 plan only),"bank.json + 27 wavs, 16 metres, Prathosh's voice, half-reference rule","per-metre clean references in the lead's voice, human-verified text=audio",🟡 PARTIAL,"reference_bank.json: 40 metres with a structurally safe candidate, 0 human-verified",kamadhenu_dataset/reference_bank.html,human listen-check on every candidate; clean 24 kHz+ takes for metres with only low-rate audio,"open reference_bank.html, verify the P0 metres, add mapping_overrides.json verified:true"
speaker voice,none,Prathosh (production) + pilot reciter; voice-steer fine-tune,"the lead's (or designated reciter's) voice, ≥1–3 h clean",🔴 BLOCKED,no speaker metadata in any source; recordings are unattributed; no TTS-grade (48 kHz/24-bit) audio exists anywhere in DGE,dataset_health_report.json speaker_count,who is the Kamadhenu voice? consent + recording protocol,lead decides the voice; then record per RECORDING_REQUESTS.csv P0
training data,"0 h in repo (2 orphan files); ~1,000 SMV clips at 11 kHz/16 kbps on the audio-data repo",3.02 h Prathosh + 5 h pilot (not shared),≥1 h clean single-speaker aligned pairs for adaptation,🟡 PARTIAL,"audio_inventory.json: 2544 files, 22.1 h fetched; 1576 high-confidence mappings; grades {'A': 637, 'B': 1382, 'D': 520, 'C': 5}","kamadhenu_dataset/metadata.jsonl, subsets/",verified text=audio; speaker attribution; most audio is lossy/low-rate,run the review queue; decide which speaker's clips count
fine tuning,none,"training/finetune_indicf5.py, phase2_finetune.py, bigvgan_vocoder_train.py (CUDA 12.1, models ~3.15 GB)",IndicF5 adaptation on the Kamadhenu set,🔴 NOT STARTED,no GPU here; Vāgdhenu scripts reference private paths (<REPO>/<PROD>),vagdhenu/training/,"GPU host, cleaned dataset, weights download (HF prathoshap/vagdhenu)",do NOT start until dataset_verified ≥ 30 min of grade A/B audio
