id,direction,section,verse,type,name_in_text,also_known_as,modern_name,state,deity,significance,nearest_railway_station,how_to_reach,confidence,sources
1,West,Paschima Prabandha (West),V.6,Region,Parashurama Kshetra,Parasurama Kshethra,Konkan–Malabar coast (Gokarna to Kanyakumari),Karnataka / Kerala,Parashurama (avatar of Vishnu),"Vadiraja opens the western circuit by describing the land Parashurama reclaimed from the sea and gifted to Brahmins: the coast from Gokarna to Kanyakumari is Parashurama Kshetra, framing the whole western seaboard as sacred.",Region (served along its length by the Konkan Railway),Coastal belt; Konkan Railway runs its length between Mangaluru and points north/south.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
2,West,Paschima Prabandha (West),V.7,Tirtha,Madhwa Sarovara,Madhva Sarovara,"Madhwa Sarovara, Udupi",Karnataka,"Sri Krishna temple tank, Udupi","The sacred temple tank adjoining the Sri Krishna temple at Udupi, described for its purifying power for pilgrims.",Udupi (Konkan Railway),"In Udupi town, beside the Krishna temple; ~60 km north of Mangaluru.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
3,West,Paschima Prabandha (West),V.8-15,Kshetra,Udupi Sri Krishna,"Rajata Peetha Kshetra, Udupi Krishna Matha",Udupi Sri Krishna Temple,Karnataka,"Krishna (Bala Krishna, installed by Madhvacharya)","Vadiraja glorifies the Krishna idol that (per tradition) came from Dwaraka by ship and was rescued by Madhvacharya during a storm and installed at Udupi, worshipped in rotation by the eight mathas. As an ashta-matha pontiff, this is Vadiraja's central kshetra.",Udupi (Konkan Railway),"Udupi town centre; ~60 km from Mangaluru, ~95 km from Mangaluru airport.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
4,West,Paschima Prabandha (West),V.14-15,Kshetra,Anantheshwara Temple,"Ananteshwara, Anantapadmanabha (Udupi)","Ananteshwara Temple, Udupi",Karnataka,Shiva (Ananteshwara); linked to Ananta-Padmanabha,An ancient Udupi shrine where Madhvacharya's father served as priest; on moving to Pajaka he carried a replica of Ananta-Padmanabha.,Udupi (Konkan Railway),"Adjacent to the Sri Krishna temple complex, Udupi.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
5,West,Paschima Prabandha (West),V.16,Kshetra,Pajaka Kshetra,Pajaka Kshethra,"Pajaka, near Udupi",Karnataka,Sri Madhvacharya (idol installed by Vadiraja),"The birthplace of Madhvacharya, surrounded by four theerthas said to be created by Parashurama — Parasu, Dhanus, Gada and Bana Teertha.",Udupi (Konkan Railway),~13 km south-east of Udupi town by road.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
6,West,Paschima Prabandha (West),V.17-20,Kshetra,Kunjarugiri,"Kunjaragiri, Vimanagiri Durga","Kunjarugiri Durga temple hill, near Udupi",Karnataka,"Durga (four-armed), said installed by Parashurama","A hilltop Durga shrine near Udupi, traditionally consecrated by Parashurama.",Udupi (Konkan Railway),"Near Pajaka, ~11–13 km from Udupi.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
7,West,Paschima Prabandha (West),V.21-26,Kshetra,Ellooru Vishwanatha (Yelluru),Elluru Vishwanatha,"Vishwanatha temple, Yelluru (near Mangaluru)",Karnataka,"Shiva (Vishwanatha), with a Rudrakshi-shila linga",Noted for its special Rudrakshi-shila linga; tradition holds the temple door opened on its own for Vadiraja's darshan.,Mangaluru Junction / Mangaluru Central,On the outskirts of Mangaluru.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
8,West,Paschima Prabandha (West),V.27-29,Kshetra,Madhyavata Mutt,Madhyatala / Madhyavata,"Madhyavata, on the Udupi–Subrahmanya route",Karnataka,Shaligrama (one of eight Madhvacharya brought from Badari),"Madhvacharya's midday worship halt en route from Udupi to Subrahmanya, housing one of the eight Badari shaligramas.",unknown,On the road between Udupi and Kukke Subrahmanya.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
9,West,Paschima Prabandha (West),V.30-31,Kshetra,Chintamani Narasimha,,"Chintamani Narasimha, near the Nethravathi (Mangaluru region)",Karnataka,Narasimha,"When demonic forces disturbed Shiva's penance, Narasimha rose from Patala, destroyed them and protected Shiva — hence this shrine on the Nethravathi bank.",Mangaluru Junction,On the Nethravathi riverbank near Mangaluru/Bantwal.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
10,West,Paschima Prabandha (West),V.32-34,River,Nethravathi nadee,Netravati river; Kumaradhara confluence,Netravati River / Kumaradhara confluence,Karnataka,River tirtha,The Nethravathi and its confluence with the Kumaradhara are praised as purifying river-tirthas of the western coast.,Mangaluru Junction,"Confluence at Uppinangady, on the Mangaluru–Subrahmanya road.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
11,West,Paschima Prabandha (West),V.35-36,River,Kumaradhara nadee,Kumaradhara river,Kumaradhara River (at Kukke Subrahmanya),Karnataka,River tirtha (associated with Subrahmanya/Skanda),"A holy river near Kukke Subrahmanya, praised as a distinct tirtha (separate from the Netravati described just before it); pilgrims bathe in it to purify themselves before the darshan of Subrahmanya.",Subrahmanya Road,Flows at Kukke Subrahmanya; ~7 km from Subrahmanya Road station.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
12,West,Paschima Prabandha (West),V.37-44,Kshetra,Subrahmanya Kshetra,Kukke Subramanya,Kukke Sri Subramanya,Karnataka,Subrahmanya (and Vasuki / serpent worship),Set in the Sahyadri forests; visiting clears past sins and is held efficacious for curing skin diseases and ailments. Also linked to the Vedavyasa Samputa (a hidden shaligrama shrine).,Subrahmanya Road (Mangaluru–Bengaluru line),~7 km from Subrahmanya Road station; ~105 km from Mangaluru.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
13,West,Paschima Prabandha (West),V.45,River,Payaswini nadee,Payaswini river,Payaswini River (Subrahmanya region),Karnataka,River tirtha,The Payaswini flowing by Subrahmanya is glorified as a sacred river-tirtha.,Subrahmanya Road,Flows near Kukke Subrahmanya.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
14,West,Paschima Prabandha (West),V.46,River,Suvarna nadee,Suvarna / Swarna river,Swarna River (Udupi region),Karnataka,River tirtha,Named among the sacred western river-tirthas.,Udupi,Near Udupi.,high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
15,West,Paschima Prabandha (West),V.47-48,Kshetra,Kumbhasi Kshetra,"Anegudde, Kumbhashi","Anegudde Sri Vinayaka Temple, Kumbhashi",Karnataka,Ganesha (Siddhi Vinayaka),"The demon Kumbhasura was defeated here; because Bhima slew the demon with a sword (asi), the place became Kumbhashi.",Kundapura (Konkan Railway),"~30 km north of Udupi, near Kundapura.",high,https://madhwafestivals.com/2017/02/09/theertha-prabandha/
