id,audio,text_id,text,normalized_text,phonetic_key,work,section,chapter,verse_id,part,chandas,chandas_engine_verdict,chandas_confidence,pada_count,syllable_count,laghu_guru,gana,yati,speaker,duration_seconds,sample_rate,channels,bit_depth,codec,audio_quality,qc_flags,snr_db_est,mapping_confidence,mapping_signal,duration_check,review_status,review_reason
km_99f28bbae757,kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS1.mp3,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:1,"ब्रह्मादयः सुरगणाः मुनयोऽथ सिद्धाः सत्वैकतानमतयो वचसां प्रवाहैः
नान्तं परस्य परतोऽप्यधुनाऽपि यान्ति किं तोष्टुमर्हति स मे हरिरुग्रजातेः",brahmAdayaH suragaRAH munayo'Ta sidDAH satvEkatAnamatayo vacasAM pravAhEH nAntaM parasya parato'pyaDunA'pi yAnti kiM tozwumarhati sa me harirugrajAteH,brahnadaya suragana nunayoTa sidDa satvEkatananatayo vacasan pravahE nantan parasya paratopyaDunapi yanti kin toswunarhati sa ne harirugrajate,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,1,full,वसन्ततिलका,वसन्ततिलका,1.0,4,56,GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGL|GGLGLLLGLLGLGG,तभजजगग|तभजजगग|तभजजगल|तभजजगग,"[8, 6]",dge_linked:PrahladaKrutaNarasimha (unattributed),21.824,44100,2,32,mp3 (mp3float),A,[],29.6,1.0,dge_linked,plausible,auto_accepted,
km_92fe2e79974b,kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS10.mp3,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:10,"यस्मात् प्रियाप्रियवियोगसुयोगजन्म
शोकाग्निना सकलयोनिषु दह्यमानः
दुःखौषधं तदपि दुःखमतद्धियाऽहं
भूमन् भ्रमामि वद मे तव दास्ययोगम्",yasmAt priyApriyaviyogasuyogajanma SokAgninA sakalayonizu dahyamAnaH duHKOzaDaM tadapi duHKamatadDiyA'haM BUman BramAmi vada me tava dAsyayogam,yasnat priyapriyaviyogasuyogajana sokagnina sakalayonisu dahyanana duKOsaDan tadapi duKanatadDiyahan Bunan Branani vada ne tava dasyayogan,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,10,full,वसन्ततिलका,वसन्ततिलका,1.0,4,56,GGLGLLLGLLGLGL|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG,तभजजगल|तभजजगग|तभजजगग|तभजजगग,"[8, 6]",dge_linked:PrahladaKrutaNarasimha (unattributed),17.579,44100,2,32,mp3 (mp3float),A,[],22.2,1.0,dge_linked,plausible,auto_accepted,
km_49db077d82c9,kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS11.mp3,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:11,"सोऽहं प्रियस्य सुहृदः परदेवताया
लीलाकथास्तव नृसिंह विरिञ्चगीताः
अञ्जस्तराम्यनुगृणन् गुणविप्रमुक्तो
दुर्गाणि ते पदयुगालयहंससङ्गः",so'haM priyasya suhfdaH paradevatAyA lIlAkaTAstava nfsiMha viriYcagItAH aYjastarAmyanugfRan guRavipramukto durgARi te padayugAlayahaMsasaNgaH,sohan priyasya suhrda paradevataya lilakaTastava nrsinha virincagita anjastaranyanugrnan gunavipranukto durgani te padayugalayahansasanga,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,11,full,वसन्ततिलका,वसन्ततिलका,1.0,4,56,GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG,तभजजगग|तभजजगग|तभजजगग|तभजजगग,"[8, 6]",dge_linked:PrahladaKrutaNarasimha (unattributed),17.088,44100,2,32,mp3 (mp3float),A,[],26.0,1.0,dge_linked,plausible,auto_accepted,
km_92b4410c437c,kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS2.mp3,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:2,"मन्ये धनाभिजनरूपतपः श्रुतौज स्तेजःप्रभावबलपौरुषबुद्धियोगाः
नाराधनाय हि भवन्ति परस्य पुंसो भत्त्या तुतोष भगवान् ननु यूथपाय",manye DanABijanarUpatapaH SrutOja stejaHpraBAvabalapOruzabudDiyogAH nArADanAya hi Bavanti parasya puMso BattyA tutoza BagavAn nanu yUTapAya,nanye DanaBijanarupatapa srutOja stejapraBavabalapOrusabudDiyoga naraDanaya hi Bavanti parasya punso Batya tutosa Bagavan nanu yuTapaya,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,2,full,वसन्ततिलका,वसन्ततिलका,1.0,4,56,GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGL,तभजजगग|तभजजगग|तभजजगग|तभजजगल,"[8, 6]",dge_linked:PrahladaKrutaNarasimha (unattributed),18.155,44100,2,32,mp3 (mp3float),A,[],27.3,1.0,dge_linked,plausible,auto_accepted,
km_e110c96261cd,kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS3.mp3,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:3,"विप्राद् द्विषड्गुणयुतादरविन्दनाभ
पादारविन्दविमुखाच्छ्वपचं वरिष्ठम्
मन्ये तदर्पितमनोवचनात्मगेह
प्राणः पुनाति सकलं न तु भूरिमानः",viprAd dvizaqguRayutAdaravindanABa pAdAravindavimuKAcCvapacaM varizWam manye tadarpitamanovacanAtmageha prARaH punAti sakalaM na tu BUrimAnaH,viprad dvisaqgunayutadaravindanaBa padaravindavinuKacCvapacan varisWan nanye tadarpitananovacanatnageha prana punati sakalan na tu Burinana,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,3,full,वसन्ततिलका,वसन्ततिलका,1.0,4,56,GGLGLLLGLLGLGL|GGLGLLLGLLGLGG|GGLGLLLGLLGLGL|GGLGLLLGLLGLGG,तभजजगल|तभजजगग|तभजजगल|तभजजगग,"[8, 6]",dge_linked:PrahladaKrutaNarasimha (unattributed),17.301,44100,2,32,mp3 (mp3float),B,"[""hot_peaks""]",27.3,1.0,dge_linked,plausible,auto_accepted,
km_e486273b47ec,kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS4.mp3,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:4,"नैवात्मनः प्रभुरयं निजलाभपूर्णो
मानं जनादविदुषः करुणो वृणीते
यद् यज्जनो भगवते विदधीत मानं
तच्चात्मने प्रतिमुखस्य यथा मुखश्रीः",nEvAtmanaH praBurayaM nijalABapUrRo mAnaM janAdaviduzaH karuRo vfRIte yad yajjano Bagavate vidaDIta mAnaM taccAtmane pratimuKasya yaTA muKaSrIH,nEvatnana praBurayan nijalaBapurno nanan janadavidusa karuno vrnite yad yajano Bagavate vidaDita nanan tacatnane pratinuKasya yaTa nuKasri,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,4,full,वसन्ततिलका,वसन्ततिलका,1.0,4,56,GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG,तभजजगग|तभजजगग|तभजजगग|तभजजगग,"[8, 6]",dge_linked:PrahladaKrutaNarasimha (unattributed),17.173,44100,2,32,mp3 (mp3float),B,"[""hot_peaks""]",29.4,1.0,dge_linked,plausible,auto_accepted,
km_71b9fee604ea,kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS5.mp3,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:5,"तस्मादहं विगतविक्लव ईश्वरस्य
सर्वात्मना न हि गृणामि यथामनीषम्
नीचोऽजया गुणविसर्गमनुप्रविष्टः
पूयेत येन हि पुमाननुवर्णितेन",tasmAdahaM vigataviklava ISvarasya sarvAtmanA na hi gfRAmi yaTAmanIzam nIco'jayA guRavisargamanupravizwaH pUyeta yena hi pumAnanuvarRitena,tasnadahan vigataviklava isvarasya sarvatnana na hi grnani yaTananisan nicojaya gunavisargananupraviswa puyeta yena hi punananuvarnitena,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,5,full,वसन्ततिलका,वसन्ततिलका,1.0,4,56,GGLGLLLGLLGLGL|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGL,तभजजगल|तभजजगग|तभजजगग|तभजजगल,"[8, 6]",dge_linked:PrahladaKrutaNarasimha (unattributed),16.832,44100,2,32,mp3 (mp3float),B,"[""hot_peaks""]",26.7,1.0,dge_linked,plausible,auto_accepted,
km_c3fe315979dd,kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS6.mp3,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:6,"सर्वे ह्यमी विधिकरास्तव सत्त्वधाम्नो
ब्रह्मादयो वयमिवेश न चोद्विजन्तः
क्षेमाय भूतय उत आत्मसुखाय चास्य
विक्रीडितं भगवतो रुचिरावतारैः",sarve hyamI viDikarAstava sattvaDAmno brahmAdayo vayamiveSa na codvijantaH kzemAya BUtaya uta AtmasuKAya cAsya vikrIqitaM Bagavato rucirAvatArEH,sarve hyani viDikarastava satvaDano brahnadayo vayanivesa na codvijanta ksenaya Butaya uta atnasuKaya casya vikriqitan Bagavato ruciravatarE,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,6,full,,,0.0,4,57,GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLLGLLGLGL|GGLGLLLGLLGLGG,तभजजगग|तभजजगग|तभससज|तभजजगग,[],dge_linked:PrahladaKrutaNarasimha (unattributed),18.56,44100,2,32,mp3 (mp3float),A,[],33.9,1.0,dge_linked,plausible,auto_accepted,
km_5c967a036393,kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS7.mp3,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:7,"तद् यच्छ मन्युमसुरश्च हतस्त्वयाऽद्य
मोदेत साधुरपि वृश्चिकसर्पहत्या
लोकाश्च निर्वृतिमिताः प्रतियान्तु सर्वे
रूपं नृसिंह विभवाय जनाः स्मरन्ति",tad yacCa manyumasuraSca hatastvayA'dya modeta sADurapi vfScikasarpahatyA lokASca nirvftimitAH pratiyAntu sarve rUpaM nfsiMha viBavAya janAH smaranti,tad yacCa nanyunasurasca hatastvayadya nodeta saDurapi vrscikasarpahatya lokasca nirvrtinita pratiyantu sarve rupan nrsinha viBavaya jana snaranti,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,7,full,वसन्ततिलका,वसन्ततिलका,1.0,4,56,GGLGLLLGLLGLGL|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGL,तभजजगल|तभजजगग|तभजजगग|तभजजगल,"[8, 6]",dge_linked:PrahladaKrutaNarasimha (unattributed),17.515,44100,2,32,mp3 (mp3float),A,[],30.9,1.0,dge_linked,plausible,auto_accepted,
km_7741ee3c5283,kamadhenu_dataset/incoming_audio/dge_linked/PrahladaKrutaNarasimha/NS8.mp3,PrahladaKrutaNarasimha:PrahladaKrutaNarasimha:8,"नाहं बिभेम्यजित तेऽतिभयानकास्य
जिह्माग्निनेत्रभृकुटीर भसोग्रदंष्ट्रात्
आन्त्रस्रजः क्षतजकेसरशङ्कुकर्णा
न्निर्हादभीतदिगिभादरिभिन्नखाग्रात्",nAhaM biBemyajita te'tiBayAnakAsya jihmAgninetraBfkuwIra BasogradaMzwrAt AntrasrajaH kzatajakesaraSaNkukarRA nnirhAdaBItadigiBAdariBinnaKAgrAt,nahan biBenyajita tetiBayanakasya jihnagninetraBrkuwira Basogradanswrat antrasraja ksatajakesarasankukarna nirhadaBitadigiBadariBinaKagrat,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,PrahladaKrutaNarasimha,8,full,वसन्ततिलका,वसन्ततिलका,1.0,4,56,GGLGLLLGLLGLGL|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG|GGLGLLLGLLGLGG,तभजजगल|तभजजगग|तभजजगग|तभजजगग,"[8, 6]",dge_linked:PrahladaKrutaNarasimha (unattributed),18.347,44100,2,32,mp3 (mp3float),A,[],27.3,1.0,dge_linked,plausible,auto_accepted,
