take,whisper_heard,best_guess,previous_identified,next_identified,"your_answer (sarga.verse.pada or ""skip"")"
New recording 197.m4a,PRAGNYO RAGNYAM TRIDIVAPADAVIM KAURAVAM KSHETRAM APTAHA,sarga_10 v6 l3 (score 0.179),take 196 = sarga_10 verse 48 pāda 4,take 204 = sarga_10 verse 50 pāda 2,
New recording 198.m4a,Ṣasmārāthasva vihruti patad Ṣasṭiyuddho Ṣa-vānāṁ,sarga_10 v49 l2 (score 0.403),take 196 = sarga_10 verse 48 pāda 4,take 204 = sarga_10 verse 50 pāda 2,
New recording 199.m4a,sattyāt madhyayi riha pari vruto bhāvi mārii chadrugbhi,sarga_10 v49 l3 (score 0.396),take 196 = sarga_10 verse 48 pāda 4,take 204 = sarga_10 verse 50 pāda 2,
New recording 200.m4a,विस्मे राइ स्वाईर नीजन रूपा तनू लेति दूष्ट्या आति तूष्ट्टाई,sarga_10 v49 l4 (score 0.483),take 196 = sarga_10 verse 48 pāda 4,take 204 = sarga_10 verse 50 pāda 2,
New recording 201.m4a,विप्रात में शक्षणार ध्वाँ,sarga_10 v50 l1 (score 0.358),take 196 = sarga_10 verse 48 pāda 4,take 204 = sarga_10 verse 50 pāda 2,
New recording 202.m4a,Krutana tira shite shri hrushi kesha deshe,sarga_10 v50 l1 (score 0.295),take 196 = sarga_10 verse 48 pāda 4,take 204 = sarga_10 verse 50 pāda 2,
New recording 203.m4a,ṉ empathā ṉ ṉ ṉ ṉ ṉ ṉ ṉ KaṾā bhir ṉ s special busted,sarga_16 v27 l3 (score 0.116),take 196 = sarga_10 verse 48 pāda 4,take 204 = sarga_10 verse 50 pāda 2,
New recording 206.m4a,sthalaga nijana ropa hrutair bhaksya bhojai,sarga_10 v50 l3 (score 0.433),take 205 = sarga_10 verse 50 pāda 3,take 209 = sarga_10 verse 51 pāda 1,
New recording 207.m4a,प्राजय्व प्राभोजयत् स्वन,sarga_10 v50 l4 (score 0.46),take 205 = sarga_10 verse 50 pāda 3,take 209 = sarga_10 verse 51 pāda 1,
New recording 208.m4a,GURU MAKHILA GURUM VEDAYAN VEDA BANDHUM,sarga_10 v6 l3 (score 0.309),take 205 = sarga_10 verse 50 pāda 3,take 209 = sarga_10 verse 51 pāda 1,
New recording 213.m4a,Ṣāśaṅ Ṣāra Pādhadvijō,sarga_10 v52 l1 (score 0.222),take 212 = sarga_10 verse 51 pāda 4,take 214 = sarga_10 verse 52 pāda 1,
New recording 215.m4a,gāreṣṭhākā dalī lā sād,sarga_10 v13 l3 (score 0.075),take 214 = sarga_10 verse 52 pāda 1,take 216 = sarga_10 verse 52 pāda 2,
New recording 219.m4a,आद्रुष्तागा तेरा प्याबून,sarga_12 v9 l2 (score 0.257),take 218 = sarga_10 verse 52 pāda 3,take 221 = sarga_10 verse 53 pāda 1,
New recording 220.m4a,ڈрупан ڈруман ڈالير ڈڑிय ڈை ڈि,sarga_11 v31 l4 (score 0.213),take 218 = sarga_10 verse 52 pāda 3,take 221 = sarga_10 verse 53 pāda 1,
New recording 225.m4a,ᾕᾡ᾵ᾶ ᾶᾱᾱᾨᾲᾳᾹᾲᾧᾱᾲᾲ auch �,sarga_16 v5 l1 (score 0.162),take 224 = sarga_10 verse 53 pāda 4,take 226 = sarga_10 verse 54 pāda 1,
New recording 228.m4a,च्रीका मा माया महर्त,sarga_10 v48 l1 (score 0.445),take 227 = sarga_10 verse 54 pāda 2,take 229 = sarga_10 verse 54 pāda 3,
New recording 230.m4a,से वियम् सुषो क्यम् मुदा,sarga_9 v30 l3 (score 0.391),take 229 = sarga_10 verse 54 pāda 3,take 232 = sarga_10 verse 54 pāda 4,
New recording 231.m4a,dākṣyā chhari dharamā māyā divi rahi,sarga_14 v25 l3 (score 0.3),take 229 = sarga_10 verse 54 pāda 3,take 232 = sarga_10 verse 54 pāda 4,
New recording 237.m4a,Iti vīvit a香港 ddhāravarair,sarga_16 v48 l4 (score 0.306),take 236 = sarga_10 verse 55 pāda 4,take 238 = sarga_10 verse 56 pāda 1,
New recording 239.m4a,Ḥāripādharaṭo derived…,sarga_15 v6 l1 (score 0.14),take 238 = sarga_10 verse 56 pāda 1,take 242 = sarga_10 verse 56 pāda 3,
New recording 240.m4a,प्रदी पिता देंग मुखाहा,sarga_10 v56 l2 (score 0.41),take 238 = sarga_10 verse 56 pāda 1,take 242 = sarga_10 verse 56 pāda 3,
New recording 241.m4a,bhava bhaya maha gharmo tap tam,sarga_10 v56 l3 (score 0.372),take 238 = sarga_10 verse 56 pāda 1,take 242 = sarga_10 verse 56 pāda 3,
New recording 244.m4a,yadhaad avipallavam,sarga_10 v56 l4 (score 0.458),take 243 = sarga_10 verse 56 pāda 4,take 245 = sarga_16 verse 3 pāda 2,
New recording 613.m4a,ḍpāgu ḍhāyān āmrūtāsindho sākhā,sarga_11 v37 l3 (score 0.16),take 612 = sarga_11 verse 37 pāda 2,take 619 = sarga_11 verse 38 pāda 1,
New recording 614.m4a,pābā no nākāstya sukhāme dhāyati,sarga_11 v37 l4 (score 0.233),take 612 = sarga_11 verse 37 pāda 2,take 619 = sarga_11 verse 38 pāda 1,
New recording 615.m4a,upachāra nanda namidham divanam,sarga_13 v43 l2 (score 0.337),take 612 = sarga_11 verse 37 pāda 2,take 619 = sarga_11 verse 38 pāda 1,
New recording 616.m4a,Niyamena nandayati yanna janam,sarga_14 v7 l1 (score 0.438),take 612 = sarga_11 verse 37 pāda 2,take 619 = sarga_11 verse 38 pāda 1,
New recording 617.m4a,परमेव नंद नमु पेंद्रवनम,sarga_9 v19 l3 (score 0.439),take 612 = sarga_11 verse 37 pāda 2,take 619 = sarga_11 verse 38 pāda 1,
New recording 618.m4a,Sakalam sadayadabhi nandayati,sarga_11 v24 l2 (score 0.4),take 612 = sarga_11 verse 37 pāda 2,take 619 = sarga_11 verse 38 pāda 1,
New recording 648.m4a,āmrutāya tattra janatār pāyati,sarga_11 v45 l1 (score 0.405),take 647 = sarga_11 verse 45 pāda 1,take 652 = sarga_11 verse 46 pāda 1,
New recording 649.m4a,Upabhok tum appyavidhi bandha vasha,sarga_11 v45 l2 (score 0.378),take 647 = sarga_11 verse 45 pāda 1,take 652 = sarga_11 verse 46 pāda 1,
New recording 650.m4a,prakrutiṁ prayātiṣa kalopiṣa dāṁ,sarga_11 v45 l2 (score 0.287),take 647 = sarga_11 verse 45 pāda 1,take 652 = sarga_11 verse 46 pāda 1,
New recording 651.m4a,amadāti re kam upayātabhātāṁ,sarga_11 v46 l1 (score 0.41),take 647 = sarga_11 verse 45 pāda 1,take 652 = sarga_11 verse 46 pāda 1,
